source,game,model_name,prompt_mode,context_cache,thinking_mode,thinking_level,thinking_budget,frames_per_action,run_dir,total_turns,counted_turns,skipped_turns_missing_planned_actions,malformed_lines,total_actions,horizontal_actions,vertical_actions,fire_actions,noop_actions,unclassified_actions,horizontal_percent,vertical_percent,fire_percent,noop_percent,unclassified_percent
structured_history/claude,air_raid,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,/Users/mingjiahuo/Desktop/ataribench/structured_history/claude/air_raid/anthropic-claude-opus-4-6/xm_air_raid_anthropic-claude-opus-4-6_high_0_2,63,63,0,0,301,274,0,192,5,0,91.0299003322259,0.0,63.78737541528239,1.6611295681063123,0.0
structured_history/claude,air_raid,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,/Users/mingjiahuo/Desktop/ataribench/structured_history/claude/air_raid/anthropic-claude-opus-4-6/xm_air_raid_anthropic-claude-opus-4-6_high_1_2,62,62,0,0,304,271,0,179,3,0,89.14473684210526,0.0,58.88157894736842,0.9868421052631579,0.0
structured_history/claude,air_raid,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,/Users/mingjiahuo/Desktop/ataribench/structured_history/claude/air_raid/anthropic-claude-opus-4-6/xm_air_raid_anthropic-claude-opus-4-6_high_2_2,62,62,0,0,303,266,0,140,4,0,87.7887788778878,0.0,46.20462046204621,1.3201320132013201,0.0
structured_history/claude,air_raid,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,/Users/mingjiahuo/Desktop/ataribench/structured_history/claude/air_raid/anthropic-claude-opus-4-6/xm_air_raid_anthropic-claude-opus-4-6_high_3_2,62,62,0,0,300,238,0,136,3,0,79.33333333333333,0.0,45.333333333333336,1.0,0.0
structured_history/claude,air_raid,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,/Users/mingjiahuo/Desktop/ataribench/structured_history/claude/air_raid/anthropic-claude-opus-4-6/xm_air_raid_anthropic-claude-opus-4-6_high_4_2,60,60,0,0,300,262,0,157,2,0,87.33333333333333,0.0,52.333333333333336,0.6666666666666666,0.0
structured_history/claude,air_raid,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,/Users/mingjiahuo/Desktop/ataribench/structured_history/claude/air_raid/anthropic-claude-opus-4-6/xm_air_raid_anthropic-claude-opus-4-6_high_5_2,62,62,0,0,301,236,0,139,13,0,78.40531561461793,0.0,46.179401993355484,4.318936877076412,0.0
structured_history/claude,air_raid,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,/Users/mingjiahuo/Desktop/ataribench/structured_history/claude/air_raid/anthropic-claude-opus-4-6/xm_air_raid_anthropic-claude-opus-4-6_high_6_2,67,67,0,0,300,213,0,150,28,0,71.0,0.0,50.0,9.333333333333334,0.0
structured_history/claude,air_raid,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,/Users/mingjiahuo/Desktop/ataribench/structured_history/claude/air_raid/anthropic-claude-opus-4-6/xm_air_raid_anthropic-claude-opus-4-6_high_7_2,61,61,0,0,301,250,0,137,2,0,83.05647840531562,0.0,45.51495016611295,0.6644518272425249,0.0
structured_history/claude,air_raid,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,/Users/mingjiahuo/Desktop/ataribench/structured_history/claude/air_raid/anthropic-claude-opus-4-6/xm_air_raid_anthropic-claude-opus-4-6_high_8_2,59,59,0,0,300,239,0,122,9,0,79.66666666666667,0.0,40.666666666666664,3.0,0.0
structured_history/claude,air_raid,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,/Users/mingjiahuo/Desktop/ataribench/structured_history/claude/air_raid/anthropic-claude-opus-4-6/xm_air_raid_anthropic-claude-opus-4-6_high_9_2,60,60,0,0,303,248,0,137,11,0,81.84818481848185,0.0,45.21452145214521,3.6303630363036303,0.0
structured_history/claude,air_raid,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,/Users/mingjiahuo/Desktop/ataribench/structured_history/claude/air_raid/anthropic-claude-opus-4-6/xm_air_raid_anthropic-claude-opus-4-6_low_0_2,90,90,0,0,302,243,0,233,11,0,80.4635761589404,0.0,77.1523178807947,3.642384105960265,0.0
structured_history/claude,air_raid,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,/Users/mingjiahuo/Desktop/ataribench/structured_history/claude/air_raid/anthropic-claude-opus-4-6/xm_air_raid_anthropic-claude-opus-4-6_low_1_2,97,97,0,0,302,238,0,272,0,0,78.80794701986756,0.0,90.06622516556291,0.0,0.0
structured_history/claude,air_raid,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,/Users/mingjiahuo/Desktop/ataribench/structured_history/claude/air_raid/anthropic-claude-opus-4-6/xm_air_raid_anthropic-claude-opus-4-6_low_2_2,93,93,0,0,301,222,0,260,0,0,73.75415282392026,0.0,86.37873754152824,0.0,0.0
structured_history/claude,air_raid,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,/Users/mingjiahuo/Desktop/ataribench/structured_history/claude/air_raid/anthropic-claude-opus-4-6/xm_air_raid_anthropic-claude-opus-4-6_low_3_2,93,93,0,0,302,213,0,221,2,0,70.52980132450331,0.0,73.17880794701986,0.6622516556291391,0.0
structured_history/claude,air_raid,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,/Users/mingjiahuo/Desktop/ataribench/structured_history/claude/air_raid/anthropic-claude-opus-4-6/xm_air_raid_anthropic-claude-opus-4-6_low_4_2,92,92,0,0,301,238,0,218,0,0,79.06976744186046,0.0,72.42524916943522,0.0,0.0
