source,game,model_name,prompt_mode,context_cache,thinking_mode,thinking_level,thinking_budget,frames_per_action,num_runs,total_turns,counted_turns,skipped_turns_missing_planned_actions,malformed_lines,total_actions,horizontal_actions,vertical_actions,fire_actions,noop_actions,unclassified_actions,horizontal_percent,vertical_percent,fire_percent,noop_percent,unclassified_percent
structured_history/claude,air_raid,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,618,618,0,0,3013,2497,0,1489,80,0,82.8742117490873,0.0,49.41918353800199,2.6551609691337537,0.0
structured_history/claude,air_raid,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,885,885,0,0,3020,2434,0,2076,36,0,80.59602649006622,0.0,68.74172185430463,1.1920529801324504,0.0
structured_history/claude,air_raid,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,1001,1001,0,0,3006,2411,0,2865,11,0,80.20625415834996,0.0,95.30938123752495,0.36593479707252163,0.0
structured_history/claude,air_raid,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,991,991,0,0,3012,2677,0,2886,56,0,88.87782204515273,0.0,95.81673306772909,1.8592297476759627,0.0
structured_history/claude,assault,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,604,604,0,0,3007,891,1124,1124,992,0,29.630861323578316,37.379447954772196,37.379447954772196,32.98969072164948,0.0
structured_history/claude,assault,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,766,766,0,0,3023,455,1589,1589,979,0,15.051273569302017,52.56367846510089,52.56367846510089,32.38504796559709,0.0
structured_history/claude,assault,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,1354,1354,0,0,3004,945,1504,1506,555,0,31.458055925432756,50.06657789613848,50.133155792276966,18.47536617842876,0.0
structured_history/claude,assault,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,1198,1198,0,0,3007,445,2044,2055,518,0,14.798802793481876,67.97472564017293,68.34053874293316,17.226471566345193,0.0
structured_history/claude,beam_rider,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,602,602,0,0,3011,1050,0,2966,0,0,34.8721355031551,0.0,98.50547990700764,0.0,0.0
structured_history/claude,beam_rider,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,952,952,0,0,3015,272,0,2980,0,0,9.02155887230514,0.0,98.8391376451078,0.0,0.0
structured_history/claude,beam_rider,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,984,984,0,0,3011,779,0,2945,0,0,25.87180338757888,0.0,97.80803719694454,0.0,0.0
structured_history/claude,beam_rider,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,1003,1003,0,0,3009,175,0,2935,0,0,5.81588567630442,0.0,97.54071119973413,0.0,0.0
structured_history/claude,boxing,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,601,601,0,0,3009,2877,1143,2665,0,0,95.61316051844467,37.986041874376866,88.56763044200731,0.0,0.0
structured_history/claude,boxing,anthropic:claude-opus-4-6,structured_history,False,none,low,none,3,10,707,707,0,0,3003,2978,973,2933,0,0,99.16749916749917,32.4009324009324,97.66899766899768,0.0,0.0
structured_history/claude,boxing,anthropic:claude-sonnet-4-6,structured_history,False,none,high,none,3,10,1020,1020,0,0,3007,2794,832,2471,0,0,92.91652810109744,27.66877286331892,82.17492517459262,0.0,0.0
structured_history/claude,boxing,anthropic:claude-sonnet-4-6,structured_history,False,none,low,none,3,10,990,990,0,0,3010,2489,148,2796,0,0,82.69102990033223,4.916943521594685,92.89036544850498,0.0,0.0
structured_history/claude,breakout,anthropic:claude-opus-4-6,structured_history,False,none,high,none,3,10,810,810,0,0,3008,2513,0,62,433,0,83.5438829787234,0.0,2.0611702127659575,14.394946808510639,0.0
