source,model_name,thinking_mode,thinking_level,thinking_budget,run_dir,total_turns,counted_turns,skipped_turns_missing_planned_actions,malformed_lines,total_actions,fire_actions,fire_percent,left_actions,left_percent,right_actions,right_percent
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_high_0,71,71,0,0,303,166,54.78547854785479,41,13.531353135313532,110,36.303630363036305
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_high_1,77,77,0,0,300,203,67.66666666666667,46,15.333333333333334,64,21.333333333333332
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_high_2,76,76,0,0,300,148,49.333333333333336,64,21.333333333333332,89,29.666666666666668
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_high_3,76,76,0,0,302,126,41.72185430463576,61,20.198675496688743,77,25.496688741721854
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_high_4,85,85,0,0,303,160,52.805280528052805,50,16.501650165016503,104,34.32343234323432
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_high_5,83,83,0,0,302,115,38.079470198675494,62,20.52980132450331,74,24.503311258278146
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_high_6,75,75,0,0,304,111,36.51315789473684,62,20.394736842105264,73,24.013157894736842
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_high_7,83,83,0,0,304,160,52.63157894736842,52,17.105263157894736,59,19.407894736842106
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_high_8,74,74,0,0,304,133,43.75,33,10.855263157894736,123,40.46052631578947
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_high_9,78,78,0,0,302,128,42.384105960264904,64,21.192052980132452,78,25.827814569536425
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_low_0,74,74,0,0,302,144,47.682119205298015,57,18.874172185430464,73,24.172185430463575
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_low_1,65,65,0,0,304,120,39.473684210526315,55,18.092105263157894,47,15.460526315789474
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_low_2,62,62,0,0,300,177,59.0,47,15.666666666666666,61,20.333333333333332
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_low_3,64,64,0,0,302,99,32.78145695364238,79,26.158940397350992,70,23.178807947019866
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_low_4,63,63,0,0,300,107,35.666666666666664,85,28.333333333333332,53,17.666666666666668
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_low_5,65,65,0,0,300,128,42.666666666666664,59,19.666666666666668,83,27.666666666666668
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_low_6,71,71,0,0,300,155,51.666666666666664,52,17.333333333333332,88,29.333333333333332
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_low_7,62,62,0,0,303,114,37.62376237623762,71,23.432343234323433,71,23.432343234323433
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_low_8,65,65,0,0,302,182,60.264900662251655,48,15.894039735099337,58,19.205298013245034
ataribench_videos/structured_history/runs/riverraid,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3-flash-preview/xm_riverraid_google-gemini-3-flash-preview_low_9_2,68,68,0,0,300,91,30.333333333333332,66,22.0,57,19.0
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_high_0,75,75,0,0,300,42,14.0,34,11.333333333333334,50,16.666666666666668
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_high_1,76,76,0,0,300,41,13.666666666666666,22,7.333333333333333,57,19.0
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_high_2,76,76,0,0,300,71,23.666666666666668,38,12.666666666666666,60,20.0
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_high_3,77,77,0,0,300,50,16.666666666666668,28,9.333333333333334,49,16.333333333333332
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_high_4,75,75,0,0,300,47,15.666666666666666,31,10.333333333333334,60,20.0
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_high_5,74,74,0,0,301,36,11.960132890365449,34,11.295681063122924,48,15.946843853820598
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_high_6,75,75,0,0,300,39,13.0,30,10.0,45,15.0
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_high_7,75,75,0,0,300,44,14.666666666666666,26,8.666666666666666,45,15.0
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_high_8,76,76,0,0,300,44,14.666666666666666,29,9.666666666666666,46,15.333333333333334
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_high_9,76,76,0,0,300,42,14.0,32,10.666666666666666,55,18.333333333333332
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_low_0_5,78,78,0,0,301,59,19.601328903654483,37,12.29235880398671,62,20.59800664451827
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_low_1_5,89,89,0,0,301,71,23.588039867109636,39,12.956810631229235,68,22.591362126245848
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_low_2,83,83,0,0,301,44,14.617940199335548,37,12.29235880398671,53,17.60797342192691
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_low_3,79,79,0,0,303,35,11.551155115511552,42,13.861386138613861,64,21.122112211221122
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_low_4,77,77,0,0,301,31,10.299003322259136,25,8.305647840531561,57,18.93687707641196
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_low_5,78,78,0,0,301,32,10.631229235880399,43,14.285714285714286,57,18.93687707641196
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_low_6,83,83,0,0,303,43,14.191419141914192,38,12.541254125412541,64,21.122112211221122
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_low_7,77,77,0,0,301,54,17.940199335548172,26,8.637873754152825,52,17.27574750830565
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_low_8,76,76,0,0,300,27,9.0,31,10.333333333333334,56,18.666666666666668
ataribench_videos/structured_history/runs/riverraid,google:gemini-3.1-pro-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/riverraid/google-gemini-3.1-pro-preview/xm_riverraid_google-gemini-3.1-pro-preview_low_9,87,87,0,0,302,47,15.562913907284768,43,14.23841059602649,62,20.52980132450331
runs/riverraid,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_001,102,102,0,0,300,278,92.66666666666667,0,0.0,5,1.6666666666666667
runs/riverraid,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_002,166,166,0,0,300,255,85.0,9,3.0,9,3.0
runs/riverraid,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_003,121,121,0,0,300,165,55.0,1,0.3333333333333333,27,9.0
runs/riverraid,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_004,141,141,0,0,302,275,91.05960264900662,12,3.9735099337748343,2,0.6622516556291391
runs/riverraid,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_005,229,229,0,0,301,269,89.3687707641196,1,0.33222591362126247,9,2.990033222591362
runs/riverraid,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_006,110,110,0,0,300,287,95.66666666666667,0,0.0,7,2.3333333333333335
runs/riverraid,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_007,109,109,0,0,300,224,74.66666666666667,5,1.6666666666666667,16,5.333333333333333
runs/riverraid,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_008,111,111,0,0,300,261,87.0,1,0.3333333333333333,8,2.6666666666666665
runs/riverraid,deepseek-ai/deepseek-v3.1,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/deepseek-ai-deepseek-v3.1/0420_042356_cfg_001_run_009,124,124,0,0,302,235,77.81456953642385,0,0.0,6,1.9867549668874172
runs/riverraid,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gemini-2.5-flash/0413_182841_cfg_001_run_001,88,88,0,0,303,230,75.9075907590759,110,36.303630363036305,106,34.98349834983498
runs/riverraid,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gemini-2.5-flash/0413_182841_cfg_001_run_002,97,97,0,0,300,229,76.33333333333333,59,19.666666666666668,115,38.333333333333336
runs/riverraid,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gemini-2.5-flash/0413_182841_cfg_001_run_003,91,91,0,0,300,193,64.33333333333333,108,36.0,75,25.0
runs/riverraid,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gemini-2.5-flash/0413_182841_cfg_001_run_004,98,98,0,0,301,252,83.72093023255815,109,36.21262458471761,105,34.883720930232556
runs/riverraid,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gemini-2.5-flash/0413_182841_cfg_001_run_005,93,93,0,0,304,171,56.25,100,32.89473684210526,83,27.30263157894737
runs/riverraid,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gemini-2.5-flash/0413_182841_cfg_001_run_006,99,99,0,0,303,249,82.17821782178218,78,25.742574257425744,141,46.53465346534654
runs/riverraid,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gemini-2.5-flash/0413_182841_cfg_001_run_007,101,101,0,0,300,216,72.0,102,34.0,86,28.666666666666668
runs/riverraid,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gemini-2.5-flash/0413_182841_cfg_001_run_008,92,92,0,0,301,140,46.51162790697674,97,32.22591362126246,77,25.58139534883721
runs/riverraid,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gemini-2.5-flash/0413_182841_cfg_001_run_009,96,96,0,0,303,222,73.26732673267327,77,25.41254125412541,125,41.254125412541256
runs/riverraid,gemini-2.5-flash,off,none,0,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gemini-2.5-flash/0413_182841_cfg_001_run_010,95,95,0,0,300,169,56.333333333333336,60,20.0,63,21.0
runs/riverraid,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gpt-5.4-mini/0413_182841_cfg_002_run_001,101,101,0,0,302,160,52.980132450331126,0,0.0,13,4.304635761589404
runs/riverraid,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gpt-5.4-mini/0413_182841_cfg_002_run_002,102,102,0,0,302,82,27.1523178807947,1,0.33112582781456956,28,9.271523178807946
runs/riverraid,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gpt-5.4-mini/0413_182841_cfg_002_run_003,102,102,0,0,300,48,16.0,0,0.0,38,12.666666666666666
runs/riverraid,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gpt-5.4-mini/0413_182841_cfg_002_run_004,101,101,0,0,301,14,4.651162790697675,2,0.6644518272425249,29,9.634551495016611
runs/riverraid,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gpt-5.4-mini/0413_182841_cfg_002_run_005,102,102,0,0,302,95,31.456953642384107,0,0.0,32,10.596026490066226
runs/riverraid,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gpt-5.4-mini/0413_182841_cfg_002_run_006,101,101,0,0,300,166,55.333333333333336,0,0.0,78,26.0
runs/riverraid,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gpt-5.4-mini/0413_182841_cfg_002_run_007,101,101,0,0,300,276,92.0,4,1.3333333333333333,6,2.0
runs/riverraid,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gpt-5.4-mini/0413_182841_cfg_002_run_008,103,103,0,0,302,96,31.788079470198674,0,0.0,17,5.629139072847682
runs/riverraid,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gpt-5.4-mini/0413_182841_cfg_002_run_009,100,100,0,0,301,176,58.47176079734219,0,0.0,10,3.3222591362126246
runs/riverraid,gpt-5.4-mini,none,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/gpt-5.4-mini/0413_182841_cfg_002_run_010,100,100,0,0,302,207,68.54304635761589,0,0.0,13,4.304635761589404
runs/riverraid,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/random/0422_025552_cfg_001_run_001,146,146,0,0,302,137,45.36423841059602,105,34.7682119205298,107,35.43046357615894
runs/riverraid,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/random/0422_025552_cfg_001_run_002,145,145,0,0,300,140,46.666666666666664,103,34.333333333333336,100,33.333333333333336
runs/riverraid,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/random/0422_025552_cfg_001_run_003,155,155,0,0,300,144,48.0,84,28.0,100,33.333333333333336
runs/riverraid,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/random/0422_025552_cfg_001_run_004,155,155,0,0,300,147,49.0,101,33.666666666666664,92,30.666666666666668
runs/riverraid,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/random/0422_025552_cfg_001_run_005,158,158,0,0,300,142,47.333333333333336,101,33.666666666666664,106,35.333333333333336
runs/riverraid,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/random/0422_025552_cfg_001_run_006,163,163,0,0,300,137,45.666666666666664,105,35.0,91,30.333333333333332
runs/riverraid,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/random/0422_025552_cfg_001_run_007,149,149,0,0,300,155,51.666666666666664,114,38.0,92,30.666666666666668
runs/riverraid,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/random/0422_025552_cfg_001_run_008,153,153,0,0,302,154,50.99337748344371,99,32.78145695364238,97,32.11920529801324
runs/riverraid,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/random/0422_025552_cfg_001_run_009,154,154,0,0,300,159,53.0,104,34.666666666666664,98,32.666666666666664
runs/riverraid,random,off,none,none,/home/hal-mingjiahuo/AtariBench/runs/riverraid/random/0422_025552_cfg_001_run_010,147,147,0,0,301,140,46.51162790697674,105,34.883720930232556,87,28.903654485049834
