source,model_name,thinking_mode,thinking_level,thinking_budget,run_dir,total_turns,counted_turns,skipped_turns_missing_planned_actions,malformed_lines,total_actions,left_actions,left_percent,right_actions,right_percent
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_high_0,80,80,0,0,300,52,17.333333333333332,42,14.0
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_high_1,76,76,0,0,300,59,19.666666666666668,99,33.0
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_high_2,82,82,0,0,303,58,19.141914191419144,66,21.782178217821784
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_high_3,75,75,0,0,302,37,12.251655629139073,46,15.2317880794702
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_high_4,76,76,0,0,300,68,22.666666666666668,50,16.666666666666668
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_high_5,76,76,0,0,301,92,30.564784053156146,87,28.903654485049834
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_high_6,87,87,0,0,302,47,15.562913907284768,72,23.841059602649008
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_high_7,72,72,0,0,301,77,25.58139534883721,56,18.6046511627907
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_high_8,75,75,0,0,300,38,12.666666666666666,66,22.0
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,high,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_high_9,79,79,0,0,300,63,21.0,92,30.666666666666668
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_low_0,78,78,0,0,300,69,23.0,50,16.666666666666668
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_low_1,70,70,0,0,303,62,20.462046204620464,75,24.752475247524753
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_low_2,67,67,0,0,300,72,24.0,38,12.666666666666666
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_low_3,68,68,0,0,300,62,20.666666666666668,68,22.666666666666668
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_low_4,76,76,0,0,303,62,20.462046204620464,54,17.821782178217823
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_low_5,73,73,0,0,303,57,18.81188118811881,61,20.13201320132013
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_low_6,74,74,0,0,304,80,26.31578947368421,45,14.802631578947368
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_low_7,69,69,0,0,302,55,18.211920529801326,44,14.56953642384106
ataribench_videos/structured_history/runs/robotank,google:gemini-3-flash-preview,none,low,none,/home/hal-mingjiahuo/AtariBench/ataribench_videos/structured_history/runs/robotank/google-gemini-3-flash-preview/xm_robotank_google-gemini-3-flash-preview_low_8,64,64,0,0,303,69,22.77227722772277,43,14.191419141914192
